Distance Sea Floor [m]	Height DOM [m]	Arrival Time [s]	Angle of Departure [degrees]	Angle of Arrival [degrees]
1800.0	500.0	1.2329551	-14.8196535	-15.934413
1800.0	600.0	1.25279534	-17.7221336	-18.8445015
1800.0	700.0	1.2757951	-20.5347214	-21.66959
1800.0	800.0	1.30179	-23.2481346	-24.3745232
1800.0	900.0	1.33062768	-25.8539524	-26.9844246
1800.0	1000.0	1.36213338	-28.3479347	-29.4577484
1850.0	3.0	1.21892345	0.496477544	-0.302353084
1850.0	100.0	1.2209841	-2.46944308	-3.37153816
1850.0	200.0	1.22667909	-5.51472473	-6.50369549
1850.0	300.0	1.23594522	-8.53026867	-9.58594513
1850.0	400.0	1.2486999	-11.499877	-12.6023121
1850.0	500.0	1.26483488	-14.4089775	-15.5389347
1850.0	600.0	1.284217	-17.2452755	-18.3806381
1850.0	700.0	1.30670035	-19.9979095	-21.164238
1850.0	800.0	1.3321265	-22.6584549	-23.8161068
1850.0	900.0	1.3603543	-25.2182655	-26.380085
1850.0	1000.0	1.39121926	-27.6729374	-28.8128014
1900.0	3.0	1.2518667	0.504900336	-0.304613173
1900.0	100.0	1.25389922	-2.38115644	-3.29408431
1900.0	200.0	1.25947618	-5.34551668	-6.3458457
1900.0	300.0	1.26853633	-8.28286362	-9.35080147
1900.0	400.0	1.28100097	-11.1784	-12.2909794
1900.0	500.0	1.2967689	-14.0183029	-15.2136545
1900.0	600.0	1.31571901	-16.7904377	-17.9933701
1900.0	700.0	1.33770883	-19.4852638	-20.6830349
1900.0	800.0	1.36259055	-22.0943928	-23.2833176
1900.0	900.0	1.39023328	-24.6091614	-25.8023434
1900.0	1000.0	1.42048192	-27.0250359	-28.1949368
1950.0	3.0	1.28480983	0.513114214	-0.339805365
1950.0	100.0	1.28681588	-2.29719758	-3.26192164
1950.0	200.0	1.29228091	-5.18472624	-6.24342918
1950.0	300.0	1.30114567	-8.04768276	-9.17845726
1950.0	400.0	1.31333709	-10.8720913	-12.0532303
1950.0	500.0	1.32875919	-13.6452503	-14.8557243
1950.0	600.0	1.34729612	-16.3560143	-17.5758915
1950.0	700.0	1.36881363	-18.9952049	-20.2244072
1950.0	800.0	1.39317417	-21.5543938	-22.7745743
1950.0	900.0	1.42025518	-24.0251064	-25.2496433
1950.0	1000.0	1.44991064	-26.4027634	-27.6026649
2000.0	3.0	1.31775284	0.521755815	-0.341798902
2000.0	100.0	1.31973493	-2.21645689	-3.1919651
2000.0	200.0	1.32509494	-5.03083086	-6.10083961
2000.0	300.0	1.33377552	-7.82287788	-8.96585846
2000.0	400.0	1.34570706	-10.5795851	-11.7741842
2000.0	500.0	1.36079884	-13.2890625	-14.514554
2000.0	600.0	1.37894094	-15.9409628	-17.1753025
2000.0	700.0	1.40000796	-18.5262699	-19.786911
2000.0	800.0	1.42386949	-21.0369949	-22.2884159
2000.0	900.0	1.45041132	-23.4646683	-24.7205391
2000.0	1000.0	1.47949529	-25.8046837	-27.0345879
2050.0	3.0	1.35069609	0.530492187	-0.343673885
2050.0	100.0	1.35265601	-2.13908792	-3.12535262
2050.0	200.0	1.35791659	-4.88377714	-5.96505451
2050.0	300.0	1.3664223	-7.60818577	-8.7633152
2050.0	400.0	1.37810588	-10.3003645	-11.5054426
2050.0	500.0	1.39288151	-12.9491158	-14.240037
2050.0	600.0	1.41064858	-15.5440826	-16.8443947
2050.0	700.0	1.43128598	-18.0771427	-19.3692265
2050.0	800.0	1.45466936	-20.5408134	-21.8234787
2050.0	900.0	1.48069322	-22.9264755	-24.2136879
2050.0	1000.0	1.50922585	-25.2295532	-26.4885464
2100.0	3.0	1.3836391	0.538993895	-0.378509045
2100.0	100.0	1.3855778	-2.0652504	-3.10324407
2100.0	200.0	1.39074421	-4.74354076	-5.88313484
2100.0	300.0	1.39908338	-7.40339327	-8.62132454
2100.0	400.0	1.41053247	-10.0334759	-11.3066339
2100.0	500.0	1.42501032	-12.6233549	-13.9292278
2100.0	600.0	1.44241846	-15.1637011	-16.4807663
2100.0	700.0	1.46264291	-17.6466293	-18.9701271
2100.0	800.0	1.48556733	-20.0645981	-21.3785191
2100.0	900.0	1.51109302	-22.4092636	-23.727829
2100.0	1000.0	1.53909421	-24.6761227	-25.9636135
2150.0	3.0	1.41658223	0.547355473	-0.363818884
2150.0	100.0	1.41850185	-1.99391484	-3.04261279
2150.0	200.0	1.42357945	-4.60875034	-5.75955963
2150.0	300.0	1.43176103	-7.20686293	-8.43688869
2150.0	400.0	1.44298661	-9.77765465	-11.0641356
2150.0	500.0	1.45717895	-12.3113279	-13.6320562
