Neutrino Depth [m]	Neutrino Min Angle [degrees]	Neutrino Max Angle [degrees]	Hydrophone Depth [m]	Hydrophone Distance [m]	Time of Arrival [s]	Signal Amplitude	Angle of Departure [degrees]	Angle of Arrival [degrees]	Surface Bounces	Bottom Bounces
2100.0	-89.0	-80.0	3700.0	200.0	3.78559232	(-7.706561132895846e-07-2.0202646276689308e-06j)	-88.0090103	87.9811249	1	0
2100.0	-89.0	-80.0	3800.0	200.0	4.10490179	(2.0029119696743437e-08-7.768788366401557e-09j)	-88.1801834	-88.1543961	1	1
2100.0	-89.0	-80.0	3800.0	200.0	4.10490084	(1.6795550284074338e-07-3.769664965764914e-08j)	-88.1711731	-88.1453629	1	1
2100.0	-89.0	-80.0	3800.0	200.0	3.84945369	(1.1578041308706421e-07+1.768636372293827e-07j)	-88.0540543	88.026741	1	0
2100.0	-89.0	-80.0	3800.0	200.0	3.84945393	(1.4290863584045381e-06+2.0131513667217327e-06j)	-88.0450439	88.0174484	1	0
2100.0	-89.0	-80.0	3900.0	200.0	4.04104567	(-9.120692315123993e-08+1.3583377068389814e-07j)	-88.1441422	-88.1182556	1	1
2100.0	-89.0	-80.0	3900.0	200.0	4.0410471	(-1.7032044559252406e-08+4.4347449044116845e-08j)	-88.1351318	-88.1092224	1	1
2100.0	-89.0	-80.0	3900.0	200.0	3.91330171	(1.8103029605295097e-06-4.983005984406056e-07j)	-88.0810776	88.0541916	1	0
2100.0	-89.0	-80.0	3900.0	200.0	3.91329932	(5.74189488912684e-07+6.156588110132412e-08j)	-88.0720749	88.0450439	1	0
2700.0	-89.0	-80.0	2900.0	200.0	5.06739092	(-4.251266555227976e-09-1.7889923131380344e-08j)	-88.522522	-88.5178757	1	1
2700.0	-89.0	-80.0	2900.0	200.0	5.06735277	(-1.7934574748701473e-08-3.1041607492802457e-08j)	-88.5135117	-88.5086441	1	1
