Neutrino Depth [m]	Neutrino Min Angle [degrees]	Neutrino Max Angle [degrees]	Hydrophone Depth [m]	Hydrophone Distance [m]	Time of Arrival [s]	Signal Amplitude	Angle of Departure [degrees]	Angle of Arrival [degrees]	Surface Bounces	Bottom Bounces
700.0	-89.0	-80.0	1600.0	100.0	2.65683365	(-4.786920988267352e-07-6.210720661468206e-07j)	-88.5851669	-88.5710449	1	1
700.0	-89.0	-80.0	1600.0	100.0	1.51881993	(3.5096428231784754e-05+3.859209375272726e-07j)	-87.5210419	87.4990921	1	0
700.0	-89.0	-80.0	1600.0	100.0	1.51882613	(2.920193966372799e-05-4.1969176805113685e-05j)	-87.503006	87.4811249	1	0
700.0	-89.0	-80.0	1700.0	100.0	2.59152269	(-7.622279085509841e-07+4.2222024645118864e-07j)	-88.567131	-88.5524292	1	1
700.0	-89.0	-80.0	1700.0	100.0	2.5915134	(-4.799037554816454e-07-6.759540182599308e-07j)	-88.5490952	-88.5338135	1	1
700.0	-89.0	-80.0	1700.0	100.0	1.58407927	(-1.587582476859337e-05-1.8284722624653937e-06j)	-87.6292572	87.6069336	1	0
700.0	-89.0	-80.0	1700.0	100.0	1.5840925	(2.3379291270814045e-05+5.644260207258284e-05j)	-87.6112213	87.5889587	1	0
700.0	-89.0	-80.0	1800.0	100.0	2.52630067	(7.842398296803339e-07-1.4965115766260254e-07j)	-88.5310593	-88.5130768	1	1
700.0	-89.0	-80.0	1800.0	100.0	2.52627993	(-1.0712052893119053e-06+7.76038613689102e-08j)	-88.5130234	-88.4945755	1	1
700.0	-89.0	-80.0	1800.0	100.0	1.64930964	(2.11246814705295e-06-3.73168110362447e-05j)	-87.7194366	87.6937103	1	0
700.0	-89.0	-80.0	1800.0	100.0	1.64931369	(-1.727680706055939e-05-2.6391674157969116e-05j)	-87.7014008	87.6757202	1	0
700.0	-89.0	-80.0	1900.0	100.0	2.46112037	(-4.6424355095608695e-07+6.610169953093307e-08j)	-88.4949875	-88.4759369	1	1
700.0	-89.0	-80.0	1900.0	100.0	2.46110463	(1.0992944675716792e-06-1.1561378159664344e-06j)	-88.4769516	-88.4572906	1	1
700.0	-89.0	-80.0	1900.0	100.0	1.71443963	(-2.9079228108877704e-05-1.6919746760622204e-06j)	-87.8096161	87.7836761	1	0
700.0	-89.0	-80.0	1900.0	100.0	1.71445155	(7.878224820597875e-06+3.171571610309168e-05j)	-87.7915802	87.765686	1	0
700.0	-89.0	-80.0	2000.0	100.0	2.39599466	(-1.5009744742489566e-06-1.4137611768166405e-06j)	-88.4408798	-88.4200058	1	1
700.0	-89.0	-80.0	2000.0	100.0	2.39599299	(-1.1368305418604256e-07-1.8418400011065986e-07j)	-88.4228439	-88.3993759	1	1
700.0	-89.0	-80.0	2000.0	100.0	1.77953696	(4.922619040501336e-05+2.5472849084142927e-05j)	-87.8824081	87.8536835	1	0
